,Company Name,Industry,LastPrice,Change,%Chg,Mkt Cap(Rs cr),Time
35,Power Grid Corp,Power Generation/Distribution,146.4,-6.6,-4.31,76590.47,2020-03-24 15:04:38.816881
36,Reliance,Oil Exploration and Production,940.45,56.4,6.38,596176.41,2020-03-24 15:04:38.816881
37,SBI,Bank - Public,182.0,0.4,0.22,162427.93,2020-03-24 15:04:38.816881
38,Sun Pharma,Pharmaceuticals & Drugs,334.05,9.55,2.94,80149.78,2020-03-24 15:04:38.816881
39,Tata Motors,Automobile - LCVS/ HVCS,68.1,1.9,2.87,21035.9,2020-03-24 15:04:38.816881
40,Tata Steel,Iron & Steel,271.0,-0.15,-0.06,30527.87,2020-03-24 15:04:38.816881
41,TCS,IT Services & Consulting,1701.0,31.3,1.87,638280.64,2020-03-24 15:04:38.816881
42,Tech Mahindra,IT Services & Consulting,503.5,16.3,3.35,49661.65,2020-03-24 15:04:38.816881
43,Titan Company,Diamond  &  Jewellery,813.6,12.65,1.58,72230.28,2020-03-24 15:04:38.816881
44,UltraTechCement,Cement,2989.1,-65.75,-2.15,86272.44,2020-03-24 15:04:38.816881
45,UPL,Pesticides & Agrochemicals,263.35,8.75,3.44,20121.14,2020-03-24 15:04:38.816881
46,Vedanta,Metals - Non Ferrous,62.8,0.15,0.24,23343.99,2020-03-24 15:04:38.816881
47,Wipro,IT Services & Consulting,176.1,5.95,3.5,100612.22,2020-03-24 15:04:38.816881
48,Yes Bank,Bank - Private,35.0,-4.75,-11.95,43926.65,2020-03-24 15:04:38.816881
49,Zee Entertain,TV Broadcasting & Software Production,118.5,-3.5,-2.87,11381.73,2020-03-24 15:04:38.816881
0,Adani Ports,Transport Infrastructure,230.35,22.55,10.85,46801.4,2020-03-24 15:05:39.209829
1,Asian Paints,Paints,1514.95,16.5,1.1,145313.67,2020-03-24 15:05:39.209829
2,Axis Bank,Bank - Private,301.8,-6.85,-2.22,85151.1,2020-03-24 15:05:39.209829
3,Bajaj Auto,Automobile - 2 & 3 Wheelers,1915.85,-19.7,-1.02,55438.38,2020-03-24 15:05:39.209829
4,Bajaj Finance,Finance - NBFC,2420.55,154.4,6.81,145641.85,2020-03-24 15:05:39.209829
5,Bajaj Finserv,Finance - Investment,4347.0,-274.05,-5.93,69176.98,2020-03-24 15:05:39.209829
6,Bharti Airtel,Telecommunication - Service Provider,404.1,-3.25,-0.8,220459.07,2020-03-24 15:05:39.209829
7,Bharti Infratel,Telecommunication - Equipment,141.2,-2.2,-1.53,26116.47,2020-03-24 15:05:39.209829
8,BPCL,Refineries,259.0,-10.35,-3.84,56183.65,2020-03-24 15:05:39.209829
9,Britannia,Consumer Food,2341.8,203.95,9.54,56312.87,2020-03-24 15:05:39.209829
10,Cipla,Pharmaceuticals & Drugs,373.4,-1.85,-0.49,30104.83,2020-03-24 15:05:39.209829
11,Coal India,Coal,127.1,-0.75,-0.59,78328.28,2020-03-24 15:05:39.209829
12,Dr Reddys Labs,Pharmaceuticals & Drugs,2855.0,86.6,3.13,47442.13,2020-03-24 15:05:39.209829
13,Eicher Motors,Automobile - LCVS/ HVCS,14348.2,642.3,4.69,39178.44,2020-03-24 15:05:39.209829
14,GAIL,Gas Distribution,76.2,-1.8,-2.31,34660.9,2020-03-24 15:05:39.209829
15,Grasim,Diversified,397.8,-35.45,-8.18,26167.24,2020-03-24 15:05:39.209829
16,HCL Tech,IT Services & Consulting,439.2,22.05,5.29,119184.17,2020-03-24 15:05:39.209829
17,HDFC,Finance - Housing,1515.0,-5.7,-0.37,262394.54,2020-03-24 15:05:39.209829
18,HDFC Bank,Bank - Private,753.7,-17.85,-2.31,413275.3,2020-03-24 15:05:39.209829
19,Hero Motocorp,Automobile - 2 & 3 Wheelers,1628.3,12.3,0.76,32523.56,2020-03-24 15:05:39.209829
20,Hindalco,Iron & Steel,88.5,0.6,0.68,19879.07,2020-03-24 15:05:39.209829
21,HUL,Household & Personal Products,2037.8,168.1,8.99,441147.24,2020-03-24 15:05:39.209829
22,ICICI Bank,Bank - Private,297.2,13.2,4.65,192362.38,2020-03-24 15:05:39.209829
23,IndusInd Bank,Bank - Private,306.0,-30.45,-9.05,21222.19,2020-03-24 15:05:39.209829
24,Infosys,IT Services & Consulting,582.8,56.35,10.7,248202.7,2020-03-24 15:05:39.209829
25,IOC,Refineries,79.65,-1.1,-1.36,74983.78,2020-03-24 15:05:39.209829
26,ITC,Cigarettes/Tobacco,147.9,-6.4,-4.15,181802.1,2020-03-24 15:05:39.209829
27,JSW Steel,Iron & Steel,147.4,3.0,2.08,35629.83,2020-03-24 15:05:39.209829
28,Kotak Mahindra,Bank - Private,1139.9,41.65,3.79,218002.05,2020-03-24 15:05:39.209829
29,Larsen,Engineering & Construction,701.0,-23.05,-3.18,98412.83,2020-03-24 15:05:39.209829
30,M&M,Automobile - Auto & Truck Manufacturers,266.7,-26.7,-9.1,33155.95,2020-03-24 15:05:39.209829
31,Maruti Suzuki,Automobile - Passenger Cars,4439.05,218.7,5.18,134094.85,2020-03-24 15:05:39.209829
32,Nestle,Consumer Food,13489.35,544.7,4.21,130058.53,2020-03-24 15:05:39.209829
33,NTPC,Power Generation/Distribution,76.4,0.0,0.0,75594.42,2020-03-24 15:05:39.209829
34,ONGC,Oil Exploration and Production,62.2,1.8,2.98,78249.34,2020-03-24 15:05:39.209829
35,Power Grid Corp,Power Generation/Distribution,145.9,-7.1,-4.64,76328.89,2020-03-24 15:05:39.209829
36,Reliance,Oil Exploration and Production,939.05,55.0,6.22,595288.92,2020-03-24 15:05:39.209829
37,SBI,Bank - Public,180.7,-0.9,-0.5,161267.73,2020-03-24 15:05:39.209829
38,Sun Pharma,Pharmaceuticals & Drugs,334.0,9.5,2.93,80137.79,2020-03-24 15:05:39.209829
39,Tata Motors,Automobile - LCVS/ HVCS,68.15,1.95,2.95,21051.34,2020-03-24 15:05:39.209829
40,Tata Steel,Iron & Steel,271.25,0.1,0.04,30556.03,2020-03-24 15:05:39.209829
41,TCS,IT Services & Consulting,1700.95,31.25,1.87,638261.88,2020-03-24 15:05:39.209829
42,Tech Mahindra,IT Services & Consulting,501.35,14.15,2.9,49449.59,2020-03-24 15:05:39.209829
43,Titan Company,Diamond  &  Jewellery,810.95,10.0,1.25,71995.02,2020-03-24 15:05:39.209829
44,UltraTechCement,Cement,2975.7,-79.15,-2.59,85885.69,2020-03-24 15:05:39.209829
45,UPL,Pesticides & Agrochemicals,263.45,8.85,3.48,20128.78,2020-03-24 15:05:39.209829
46,Vedanta,Metals - Non Ferrous,62.85,0.2,0.32,23362.58,2020-03-24 15:05:39.209829
47,Wipro,IT Services & Consulting,176.2,6.05,3.56,100669.36,2020-03-24 15:05:39.209829
48,Yes Bank,Bank - Private,35.0,-4.75,-11.95,43926.65,2020-03-24 15:05:39.209829
49,Zee Entertain,TV Broadcasting & Software Production,118.4,-3.6,-2.95,11372.12,2020-03-24 15:05:39.209829
0,Adani Ports,Transport Infrastructure,230.35,22.55,10.85,46801.4,2020-03-24 15:06:41.097260
1,Asian Paints,Paints,1516.2,17.75,1.18,145433.57,2020-03-24 15:06:41.097260
2,Axis Bank,Bank - Private,300.25,-8.4,-2.72,84713.78,2020-03-24 15:06:41.097260
3,Bajaj Auto,Automobile - 2 & 3 Wheelers,1925.85,-9.7,-0.5,55727.75,2020-03-24 15:06:41.097260
4,Bajaj Finance,Finance - NBFC,2421.4,155.25,6.85,145692.99,2020-03-24 15:06:41.097260
5,Bajaj Finserv,Finance - Investment,4328.45,-292.6,-6.33,68881.78,2020-03-24 15:06:41.097260
6,Bharti Airtel,Telecommunication - Service Provider,404.85,-2.5,-0.61,220868.24,2020-03-24 15:06:41.097260
7,Bharti Infratel,Telecommunication - Equipment,143.2,-0.2,-0.14,26486.39,2020-03-24 15:06:41.097260
8,BPCL,Refineries,258.55,-10.8,-4.01,56086.03,2020-03-24 15:06:41.097260
9,Britannia,Consumer Food,2334.75,196.9,9.21,56143.34,2020-03-24 15:06:41.097260
10,Cipla,Pharmaceuticals & Drugs,374.2,-1.05,-0.28,30169.33,2020-03-24 15:06:41.097260
11,Coal India,Coal,127.35,-0.5,-0.39,78482.35,2020-03-24 15:06:41.097260
12,Dr Reddys Labs,Pharmaceuticals & Drugs,2855.5,87.1,3.15,47450.44,2020-03-24 15:06:41.097260
13,Eicher Motors,Automobile - LCVS/ HVCS,14272.1,566.2,4.13,38970.64,2020-03-24 15:06:41.097260
14,GAIL,Gas Distribution,76.5,-1.5,-1.92,34797.36,2020-03-24 15:06:41.097260
15,Grasim,Diversified,398.3,-34.95,-8.07,26200.13,2020-03-24 15:06:41.097260
16,HCL Tech,IT Services & Consulting,438.9,21.75,5.21,119102.76,2020-03-24 15:06:41.097260
17,HDFC,Finance - Housing,1514.05,-6.65,-0.44,262230.0,2020-03-24 15:06:41.097260
18,HDFC Bank,Bank - Private,755.9,-15.65,-2.03,414481.62,2020-03-24 15:06:41.097260
19,Hero Motocorp,Automobile - 2 & 3 Wheelers,1619.8,3.8,0.24,32353.78,2020-03-24 15:06:41.097260
20,Hindalco,Iron & Steel,88.55,0.65,0.74,19890.3,2020-03-24 15:06:41.097260
21,HUL,Household & Personal Products,2038.5,168.8,9.03,441298.77,2020-03-24 15:06:41.097260
22,ICICI Bank,Bank - Private,296.0,12.0,4.23,191585.68,2020-03-24 15:06:41.097260
23,IndusInd Bank,Bank - Private,305.3,-31.15,-9.26,21173.65,2020-03-24 15:06:41.097260
24,Infosys,IT Services & Consulting,582.0,55.55,10.55,247861.99,2020-03-24 15:06:41.097260
25,IOC,Refineries,79.6,-1.15,-1.42,74936.71,2020-03-24 15:06:41.097260
26,ITC,Cigarettes/Tobacco,147.75,-6.55,-4.24,181617.72,2020-03-24 15:06:41.097260
27,JSW Steel,Iron & Steel,147.5,3.1,2.15,35654.0,2020-03-24 15:06:41.097260
28,Kotak Mahindra,Bank - Private,1146.7,48.45,4.41,219302.53,2020-03-24 15:06:41.097260
29,Larsen,Engineering & Construction,701.45,-22.6,-3.12,98476.01,2020-03-24 15:06:41.097260
30,M&M,Automobile - Auto & Truck Manufacturers,268.2,-25.2,-8.59,33342.42,2020-03-24 15:06:41.097260
31,Maruti Suzuki,Automobile - Passenger Cars,4456.8,236.45,5.6,134631.04,2020-03-24 15:06:41.097260
32,Nestle,Consumer Food,13494.05,549.4,4.24,130103.85,2020-03-24 15:06:41.097260
33,NTPC,Power Generation/Distribution,76.55,0.15,0.2,75742.84,2020-03-24 15:06:41.097260
34,ONGC,Oil Exploration and Production,62.45,2.05,3.39,78563.84,2020-03-24 15:06:41.097260
35,Power Grid Corp,Power Generation/Distribution,145.5,-7.5,-4.9,76119.63,2020-03-24 15:06:41.097260
36,Reliance,Oil Exploration and Production,939.2,55.15,6.24,595384.0,2020-03-24 15:06:41.097260
37,SBI,Bank - Public,181.0,-0.6,-0.33,161535.47,2020-03-24 15:06:41.097260
38,Sun Pharma,Pharmaceuticals & Drugs,334.55,10.05,3.1,80269.75,2020-03-24 15:06:41.097260
39,Tata Motors,Automobile - LCVS/ HVCS,68.0,1.8,2.72,21005.01,2020-03-24 15:06:41.097260
40,Tata Steel,Iron & Steel,271.7,0.55,0.2,30606.72,2020-03-24 15:06:41.097260
41,TCS,IT Services & Consulting,1695.5,25.8,1.55,636216.83,2020-03-24 15:06:41.097260
42,Tech Mahindra,IT Services & Consulting,502.85,15.65,3.21,49597.54,2020-03-24 15:06:41.097260
43,Titan Company,Diamond  &  Jewellery,816.55,15.6,1.95,72492.18,2020-03-24 15:06:41.097260
44,UltraTechCement,Cement,2987.15,-67.7,-2.22,86216.16,2020-03-24 15:06:41.097260
45,UPL,Pesticides & Agrochemicals,264.35,9.75,3.83,20197.54,2020-03-24 15:06:41.097260
46,Vedanta,Metals - Non Ferrous,62.7,0.05,0.08,23306.82,2020-03-24 15:06:41.097260
47,Wipro,IT Services & Consulting,175.6,5.45,3.2,100326.56,2020-03-24 15:06:41.097260
48,Yes Bank,Bank - Private,35.0,-4.75,-11.95,43926.65,2020-03-24 15:06:41.097260
49,Zee Entertain,TV Broadcasting & Software Production,118.4,-3.6,-2.95,11372.12,2020-03-24 15:06:41.097260
0,Adani Ports,Transport Infrastructure,230.35,22.55,10.85,46801.4,2020-03-24 15:07:41.486425
1,Asian Paints,Paints,1516.2,17.75,1.18,145433.57,2020-03-24 15:07:41.486425
2,Axis Bank,Bank - Private,300.25,-8.4,-2.72,84713.78,2020-03-24 15:07:41.486425
3,Bajaj Auto,Automobile - 2 & 3 Wheelers,1925.85,-9.7,-0.5,55727.75,2020-03-24 15:07:41.486425
4,Bajaj Finance,Finance - NBFC,2421.4,155.25,6.85,145692.99,2020-03-24 15:07:41.486425
5,Bajaj Finserv,Finance - Investment,4328.45,-292.6,-6.33,68881.78,2020-03-24 15:07:41.486425
6,Bharti Airtel,Telecommunication - Service Provider,404.85,-2.5,-0.61,220868.24,2020-03-24 15:07:41.486425
7,Bharti Infratel,Telecommunication - Equipment,143.2,-0.2,-0.14,26486.39,2020-03-24 15:07:41.486425
8,BPCL,Refineries,258.55,-10.8,-4.01,56086.03,2020-03-24 15:07:41.486425
9,Britannia,Consumer Food,2334.75,196.9,9.21,56143.34,2020-03-24 15:07:41.486425
10,Cipla,Pharmaceuticals & Drugs,374.2,-1.05,-0.28,30169.33,2020-03-24 15:07:41.486425
